Age,Grade,Gender,Year,Number,Sector
16,C1,FE,1993,3608,PUB
16,C1,MA,1993,9300,PUB
16,C2,FE,1993,11659,PUB
16,C2,MA,1993,21437,PUB
16,C3,FE,1993,35502,PUB
16,C3,MA,1993,47698,PUB
17,C1,FE,1993,664,PUB
17,C1,MA,1993,1961,PUB
17,C2,FE,1993,4552,PUB
17,C2,MA,1993,9201,PUB
17,C3,FE,1993,27190,PUB
17,C3,MA,1993,40201,PUB
18,C1,FE,1993,95,PUB
18,C1,MA,1993,411,PUB
18,C2,FE,1993,1237,PUB
18,C2,MA,1993,2528,PUB
18,C3,FE,1993,15981,PUB
18,C3,MA,1993,24716,PUB
19,C2,FE,1993,203,PUB
19,C2,MA,1993,476,PUB
19,C3,FE,1993,6215,PUB
19,C3,MA,1993,10210,PUB
20,C2,FE,1993,22,PUB
20,C2,MA,1993,172,PUB
20,C3,FE,1993,1259,PUB
20,C3,MA,1993,2174,PUB
21,C3,FE,1993,146,PUB
21,C3,MA,1993,331,PUB
15,C1,FE,1994,14451,PUB
15,C1,MA,1994,29812,PUB
15,C2,FE,1994,26614,PUB
15,C2,MA,1994,40619,PUB
15,C3,FE,1994,39021,PUB
15,C3,MA,1994,45144,PUB
16,C1,FE,1994,4736,PUB
16,C1,MA,1994,12037,PUB
16,C2,FE,1994,12968,PUB
16,C2,MA,1994,24492,PUB
16,C3,FE,1994,37056,PUB
16,C3,MA,1994,49695,PUB
17,C1,FE,1994,831,PUB
17,C1,MA,1994,2516,PUB
17,C2,FE,1994,4118,PUB
17,C2,MA,1994,8977,PUB
17,C3,FE,1994,25114,PUB
17,C3,MA,1994,37622,PUB
18,C1,FE,1994,101,PUB
18,C1,MA,1994,499,PUB
18,C2,FE,1994,981,PUB
18,C2,MA,1994,2399,PUB
18,C3,FE,1994,13324,PUB
18,C3,MA,1994,21583,PUB
19,C2,FE,1994,160,PUB
19,C2,MA,1994,414,PUB
19,C3,FE,1994,5010,PUB
19,C3,MA,1994,8279,PUB
20,C2,FE,1994,14,PUB
20,C2,MA,1994,135,PUB
20,C3,FE,1994,986,PUB
20,C3,MA,1994,1656,PUB
21,C3,FE,1994,150,PUB
21,C3,MA,1994,316,PUB
15,C1,FE,1995,13523,PUB
15,C1,MA,1995,28700,PUB
15,C2,FE,1995,24928,PUB
15,C2,MA,1995,39593,PUB
15,C3,FE,1995,40641,PUB
15,C3,MA,1995,48082,PUB
16,C1,FE,1995,4630,PUB
16,C1,MA,1995,11965,PUB
16,C2,FE,1995,12771,PUB
16,C2,MA,1995,24747,PUB
16,C3,FE,1995,38688,PUB
16,C3,MA,1995,52668,PUB
17,C1,FE,1995,915,PUB
17,C1,MA,1995,2635,PUB
17,C2,FE,1995,4514,PUB
17,C2,MA,1995,10424,PUB
17,C3,FE,1995,26704,PUB
17,C3,MA,1995,40825,PUB
18,C1,FE,1995,107,PUB
18,C1,MA,1995,489,PUB
18,C2,FE,1995,889,PUB
18,C2,MA,1995,2311,PUB
18,C3,FE,1995,11951,PUB
18,C3,MA,1995,19980,PUB
19,C2,FE,1995,123,PUB
19,C2,MA,1995,357,PUB
19,C3,FE,1995,3987,PUB
19,C3,MA,1995,6857,PUB
20,C2,FE,1995,15,PUB
20,C2,MA,1995,114,PUB
20,C3,FE,1995,736,PUB
20,C3,MA,1995,1410,PUB
21,C3,FE,1995,83,PUB
21,C3,MA,1995,234,PUB
15,C1,FE,1996,14489,PUB
15,C1,MA,1996,30472,PUB
15,C2,FE,1996,25974,PUB
